subject, channel, cw, CC, ED, blackout, system, user, total	
11      , CSC1    , 300000000 ,         0.8 ,         1.2 ,    50000 , 3788.58 , 105.804 , 3901.81
11      , CSC1    ,  60000000 ,         0.8 ,         1.2 ,    50000 , 3784.42 , 137.999 , 3925.29
11      , CSC1    , 300000000 ,         0.9 ,         1.2 ,    50000 , 3794.32 ,  56.245 , 3852.88
11      , CSC1    ,  60000000 ,         0.9 ,         1.2 ,    50000 , 3791.82 ,  62.332 , 3856.16
11      , CSC1    , 300000000 ,         0.8 ,         1.5 ,    50000 , 3795.36 ,  52.072 , 3849.56
11      , CSC1    ,  60000000 ,         0.8 ,         1.5 ,    50000 , 3790.77 ,  60.303 , 3852.62
11      , CSC1    , 300000000 ,         0.9 ,         1.5 ,    50000 , 3792.84 ,  64.078 , 3858.92
11      , CSC1    ,  60000000 ,         0.9 ,         1.5 ,    50000 ,  3794.8 ,  60.031 , 3856.97
11      , CSC1    , 300000000 ,         0.8 ,         1.2 ,    10000 , 3614.68 , 106.785 , 3724.52
11      , CSC1    ,  60000000 ,         0.8 ,         1.2 ,    10000 , 3603.43 , 118.569 , 3723.74
11      , CSC1    , 300000000 ,         0.9 ,         1.2 ,    10000 , 3608.14 , 118.326 , 3728.31
11      , CSC1    ,  60000000 ,         0.9 ,         1.2 ,    10000 , 3614.36 , 135.136 , 3752.11
11      , CSC1    , 300000000 ,         0.8 ,         1.5 ,    10000 , 3603.79 , 140.117 , 3746.61
11      , CSC1    ,  60000000 ,         0.8 ,         1.5 ,    10000 , 3596.73 , 150.197 ,  3748.5
11      , CSC1    , 300000000 ,         0.9 ,         1.5 ,    10000 , 3598.61 , 170.121 , 3770.91
11      , CSC1    ,  60000000 ,         0.9 ,         1.5 ,    10000 , 3591.19 , 189.448 , 3782.28

